Datetime,Adj Close,Close,High,Low,Open,Volume
2022-08-08,32832.5390625,32832.5390625,33109.9609375,32769.1015625,32877.359375,275350000
2022-08-09,32774.41015625,32774.41015625,32877.53125,32702.66015625,32807.359375,281080000
2022-08-10,33309.51171875,33309.51171875,33364.41015625,33130.62890625,33130.62890625,311740000
2022-08-11,33336.671875,33336.671875,33651.80078125,33289.828125,33451.51171875,308030000
2022-08-12,33761.05078125,33761.05078125,33767.08984375,33398.3203125,33430.71875,299140000
2022-08-15,33912.44140625,33912.44140625,33954.7109375,33582.9609375,33710.69921875,262670000
2022-08-16,34152.01171875,34152.01171875,34281.359375,33852.5703125,33924.3515625,288670000
2022-08-17,33980.3203125,33980.3203125,34161.01171875,33828.41015625,34029.55078125,281390000
2022-08-18,33999.0390625,33999.0390625,34043.828125,33844.4609375,33981.859375,282550000
2022-08-19,33706.73828125,33706.73828125,33904.69140625,33627.08984375,33904.69140625,293990000
2022-08-22,33063.609375,33063.609375,33586.58984375,33007.62890625,33586.58984375,308900000
2022-08-23,32909.58984375,32909.58984375,33138.26171875,32858.890625,33033.51953125,251870000
2022-08-24,32969.23046875,32969.23046875,33095.5,32828.55859375,32899.01171875,256900000
2022-08-25,33291.78125,33291.78125,33306.08984375,32889.8515625,33029.26953125,308530000
2022-08-26,32283.400390625,32283.400390625,33364.69921875,32278.220703125,33293.4296875,352850000
2022-08-29,32098.990234375,32098.990234375,32325.16015625,31972.7890625,32188.0,317820000
2022-08-30,31790.869140625,31790.869140625,32205.66015625,31647.220703125,32163.83984375,317150000
2022-08-31,31510.4296875,31510.4296875,31966.0390625,31509.58984375,31827.150390625,392780000
2022-09-01,31656.419921875,31656.419921875,31677.509765625,31219.75,31454.580078125,339360000
2022-09-02,31318.439453125,31318.439453125,32026.900390625,31182.08984375,31848.5,306180000
2022-09-06,31145.30078125,31145.30078125,31463.890625,31048.4609375,31343.7890625,347320000
2022-09-07,31581.279296875,31581.279296875,31644.33984375,31095.2109375,31145.630859375,345080000
2022-09-08,31774.51953125,31774.51953125,31783.369140625,31321.5,31481.94921875,344340000
2022-09-09,32151.7109375,32151.7109375,32227.740234375,31876.220703125,31876.220703125,310980000
2022-09-12,32381.33984375,32381.33984375,32504.0390625,32159.490234375,32159.490234375,339250000
2022-09-13,31104.970703125,31104.970703125,32006.5,31018.5390625,32006.5,428930000
2022-09-14,31135.08984375,31135.08984375,31276.8203125,30885.01953125,31141.01953125,348670000
2022-09-15,30961.8203125,30961.8203125,31277.689453125,30882.080078125,31124.6796875,345500000
2022-09-16,30822.419921875,30822.419921875,30866.609375,30550.080078125,30866.609375,627920000
2022-09-19,31019.6796875,31019.6796875,31026.890625,30559.369140625,30722.859375,291200000
2022-09-20,30706.23046875,30706.23046875,30888.529296875,30465.91015625,30888.529296875,317970000
2022-09-21,30183.779296875,30183.779296875,31020.7890625,30181.990234375,30819.390625,354960000
